"ZIP
code [1]",Size of adjusted gross income,Number of returns
43764,"$75,000 under $100,000",270
43764,"$100,000 under $200,000",210
43764,"$200,000 or more",**
,,
43766,,620
43766,"$1 under $25,000",270
43766,"$25,000 under $50,000",180
43766,"$50,000 under $75,000",90
43766,"$75,000 under $100,000",50
43766,"$100,000 under $200,000",30
43766,"$200,000 or more",**
,,
43767,,700
43767,"$1 under $25,000",210
43767,"$25,000 under $50,000",180
43767,"$50,000 under $75,000",120
43767,"$75,000 under $100,000",90
43767,"$100,000 under $200,000",100
43767,"$200,000 or more",**
,,
43771,,830
43771,"$1 under $25,000",360
43771,"$25,000 under $50,000",250
43771,"$50,000 under $75,000",120
43771,"$75,000 under $100,000",70
43771,"$100,000 under $200,000",30
43771,"$200,000 or more",**
,,
43772,,900
43772,"$1 under $25,000",350
43772,"$25,000 under $50,000",260
43772,"$50,000 under $75,000",150
43772,"$75,000 under $100,000",80
43772,"$100,000 under $200,000",60
43772,"$200,000 or more",**
,,
43773,,"1,250"
43773,"$1 under $25,000",460
43773,"$25,000 under $50,000",350
43773,"$50,000 under $75,000",200
43773,"$75,000 under $100,000",110
43773,"$100,000 under $200,000",90
43773,"$200,000 or more",40
,,
43777,,"1,820"
43777,"$1 under $25,000",780
43777,"$25,000 under $50,000",560
43777,"$50,000 under $75,000",260
43777,"$75,000 under $100,000",120
43777,"$100,000 under $200,000",100
43777,"$200,000 or more",**
,,
43778,,600
43778,"$1 under $25,000",220
43778,"$25,000 under $50,000",130
43778,"$50,000 under $75,000",110
43778,"$75,000 under $100,000",60
43778,"$100,000 under $200,000",60
43778,"$200,000 or more",20
,,
43779,,400
43779,"$1 under $25,000",130
43779,"$25,000 under $50,000",120
43779,"$50,000 under $75,000",50
43779,"$75,000 under $100,000",50
43779,"$100,000 under $200,000",50
43779,"$200,000 or more",**
,,
43780,,"1,080"
43780,"$1 under $25,000",400
43780,"$25,000 under $50,000",270
43780,"$50,000 under $75,000",180
43780,"$75,000 under $100,000",100
43780,"$100,000 under $200,000",100
43780,"$200,000 or more",30
,,
43782,,340
43782,"$1 under $25,000",140
43782,"$25,000 under $50,000",120
43782,"$50,000 under $75,000",50
43782,"$75,000 under $100,000",30
43782,"$100,000 under $200,000",**
43782,"$200,000 or more",0
,,
43783,,"2,100"
43783,"$1 under $25,000",740
43783,"$25,000 under $50,000",520
43783,"$50,000 under $75,000",370
43783,"$75,000 under $100,000",230
43783,"$100,000 under $200,000",220
43783,"$200,000 or more",20
,,
43787,,"1,200"
43787,"$1 under $25,000",520
43787,"$25,000 under $50,000",330
43787,"$50,000 under $75,000",180
43787,"$75,000 under $100,000",90
43787,"$100,000 under $200,000",80
43787,"$200,000 or more",**
,,
43788,,370
43788,"$1 under $25,000",140
43788,"$25,000 under $50,000",100
43788,"$50,000 under $75,000",40
43788,"$75,000 under $100,000",30
43788,"$100,000 under $200,000",60
43788,"$200,000 or more",**
,,
43793,,"2,130"
43793,"$1 under $25,000",930
43793,"$25,000 under $50,000",540
43793,"$50,000 under $75,000",280
43793,"$75,000 under $100,000",150
43793,"$100,000 under $200,000",180
43793,"$200,000 or more",50
,,
43802,,490
43802,"$1 under $25,000",160
43802,"$25,000 under $50,000",170
43802,"$50,000 under $75,000",80
43802,"$75,000 under $100,000",50
43802,"$100,000 under $200,000",30
43802,"$200,000 or more",**
,,
43804,,"1,680"
43804,"$1 under $25,000",590
43804,"$25,000 under $50,000",690
43804,"$50,000 under $75,000",230
43804,"$75,000 under $100,000",100
43804,"$100,000 under $200,000",70
43804,"$200,000 or more",**
,,
43811,,370
43811,"$1 under $25,000",130
43811,"$25,000 under $50,000",110
43811,"$50,000 under $75,000",70
43811,"$75,000 under $100,000",40
43811,"$100,000 under $200,000",20
43811,"$200,000 or more",**
,,
43812,,"8,440"
43812,"$1 under $25,000",3590
43812,"$25,000 under $50,000",2340
43812,"$50,000 under $75,000",1210
43812,"$75,000 under $100,000",670
43812,"$100,000 under $200,000",530
43812,"$200,000 or more",100
,,
43821,,"2,040"
43821,"$1 under $25,000",750
43821,"$25,000 under $50,000",540
43821,"$50,000 under $75,000",350
43821,"$75,000 under $100,000",200
43821,"$100,000 under $200,000",170
43821,"$200,000 or more",30
,,
43822,,"2,150"
43822,"$1 under $25,000",810
43822,"$25,000 under $50,000",630
43822,"$50,000 under $75,000",340
43822,"$75,000 under $100,000",190
43822,"$100,000 under $200,000",180
43822,"$200,000 or more",**
,,
43824,,"1,680"
43824,"$1 under $25,000",530
43824,"$25,000 under $50,000",640
43824,"$50,000 under $75,000",290
43824,"$75,000 under $100,000",120
43824,"$100,000 under $200,000",100
43824,"$200,000 or more",**
,,
43830,,"3,060"
43830,"$1 under $25,000",1000
43830,"$25,000 under $50,000",730
43830,"$50,000 under $75,000",520
43830,"$75,000 under $100,000",350
43830,"$100,000 under $200,000",400
43830,"$200,000 or more",60
,,
43832,,"3,140"
43832,"$1 under $25,000",1330
43832,"$25,000 under $50,000",940
43832,"$50,000 under $75,000",480
43832,"$75,000 under $100,000",230
43832,"$100,000 under $200,000",140
43832,"$200,000 or more",20
,,
43837,,780
43837,"$1 under $25,000",290
43837,"$25,000 under $50,000",230
43837,"$50,000 under $75,000",120
43837,"$75,000 under $100,000",80
43837,"$100,000 under $200,000",60
43837,"$200,000 or more",**
,,
43840,,570
43840,"$1 under $25,000",180
43840,"$25,000 under $50,000",170
43840,"$50,000 under $75,000",110
43840,"$75,000 under $100,000",60
43840,"$100,000 under $200,000",50
43840,"$200,000 or more",**
,,
43843,,500
43843,"$1 under $25,000",170
43843,"$25,000 under $50,000",150
43843,"$50,000 under $75,000",100
43843,"$75,000 under $100,000",40
43843,"$100,000 under $200,000",40
43843,"$200,000 or more",**
,,
43844,,"1,760"
43844,"$1 under $25,000",670
43844,"$25,000 under $50,000",510
43844,"$50,000 under $75,000",280
43844,"$75,000 under $100,000",170
43844,"$100,000 under $200,000",110
43844,"$200,000 or more",20
,,
43845,,"2,130"
43845,"$1 under $25,000",800
43845,"$25,000 under $50,000",620
43845,"$50,000 under $75,000",370
43845,"$75,000 under $100,000",180
43845,"$100,000 under $200,000",160
43845,"$200,000 or more",**
,,
43901,,930
43901,"$1 under $25,000",330
43901,"$25,000 under $50,000",250
43901,"$50,000 under $75,000",160
43901,"$75,000 under $100,000",90
43901,"$100,000 under $200,000",100
43901,"$200,000 or more",**
,,
43903,,770
43903,"$1 under $25,000",300
43903,"$25,000 under $50,000",200
43903,"$50,000 under $75,000",140
43903,"$75,000 under $100,000",70
43903,"$100,000 under $200,000",60
43903,"$200,000 or more",**
,,
43906,,"3,540"
43906,"$1 under $25,000",1620
43906,"$25,000 under $50,000",910
43906,"$50,000 under $75,000",480
43906,"$75,000 under $100,000",270
43906,"$100,000 under $200,000",230
43906,"$200,000 or more",30
,,
43907,,"2,280"
43907,"$1 under $25,000",850
43907,"$25,000 under $50,000",630
43907,"$50,000 under $75,000",350
43907,"$75,000 under $100,000",210
43907,"$100,000 under $200,000",200
43907,"$200,000 or more",40
,,
43908,,550
43908,"$1 under $25,000",200
43908,"$25,000 under $50,000",150
43908,"$50,000 under $75,000",90
43908,"$75,000 under $100,000",50
43908,"$100,000 under $200,000",60
43908,"$200,000 or more",**
,,
43910,,"1,670"
43910,"$1 under $25,000",580
43910,"$25,000 under $50,000",420
43910,"$50,000 under $75,000",280
43910,"$75,000 under $100,000",200
43910,"$100,000 under $200,000",170
43910,"$200,000 or more",20
,,
43912,,"2,880"
43912,"$1 under $25,000",1270
43912,"$25,000 under $50,000",800
43912,"$50,000 under $75,000",370
43912,"$75,000 under $100,000",210
43912,"$100,000 under $200,000",210
43912,"$200,000 or more",20
,,
43913,,640
43913,"$1 under $25,000",270
43913,"$25,000 under $50,000",190
43913,"$50,000 under $75,000",100
43913,"$75,000 under $100,000",50
43913,"$100,000 under $200,000",30
43913,"$200,000 or more",0
,,
43915,,650
43915,"$1 under $25,000",220
43915,"$25,000 under $50,000",170
43915,"$50,000 under $75,000",100
43915,"$75,000 under $100,000",70
43915,"$100,000 under $200,000",60
43915,"$200,000 or more",30
,,
43917,,"1,240"
43917,"$1 under $25,000",470
43917,"$25,000 under $50,000",310
43917,"$50,000 under $75,000",220
43917,"$75,000 under $100,000",120
43917,"$100,000 under $200,000",120
43917,"$200,000 or more",**
,,
43920,,"9,690"
43920,"$1 under $25,000",4130
43920,"$25,000 under $50,000",2770
43920,"$50,000 under $75,000",1280
43920,"$75,000 under $100,000",780
43920,"$100,000 under $200,000",640
43920,"$200,000 or more",90
,,
43930,,400
43930,"$1 under $25,000",150
43930,"$25,000 under $50,000",100
43930,"$50,000 under $75,000",70
43930,"$75,000 under $100,000",40
43930,"$100,000 under $200,000",40
43930,"$200,000 or more",**
,,
43932,,390
43932,"$1 under $25,000",150
43932,"$25,000 under $50,000",110
43932,"$50,000 under $75,000",60
43932,"$75,000 under $100,000",30
43932,"$100,000 under $200,000",40
43932,"$200,000 or more",**
,,
43933,,890
43933,"$1 under $25,000",340
43933,"$25,000 under $50,000",230
43933,"$50,000 under $75,000",130
43933,"$75,000 under $100,000",80
43933,"$100,000 under $200,000",110
43933,"$200,000 or more",**
,,
43935,,"3,800"
43935,"$1 under $25,000",1760
43935,"$25,000 under $50,000",1050
43935,"$50,000 under $75,000",470
43935,"$75,000 under $100,000",270
43935,"$100,000 under $200,000",220
43935,"$200,000 or more",30
,,
43938,,"2,360"
43938,"$1 under $25,000",1000
43938,"$25,000 under $50,000",660
43938,"$50,000 under $75,000",360
43938,"$75,000 under $100,000",200
43938,"$100,000 under $200,000",140
43938,"$200,000 or more",**
,,
43942,,"1,040"
43942,"$1 under $25,000",410
43942,"$25,000 under $50,000",260
43942,"$50,000 under $75,000",150
43942,"$75,000 under $100,000",90
43942,"$100,000 under $200,000",100
43942,"$200,000 or more",30
,,
43943,,"1,630"
43943,"$1 under $25,000",640
43943,"$25,000 under $50,000",440
43943,"$50,000 under $75,000",240
43943,"$75,000 under $100,000",150
43943,"$100,000 under $200,000",160
43943,"$200,000 or more",**
,,
43944,,"1,190"
43944,"$1 under $25,000",410
43944,"$25,000 under $50,000",310
43944,"$50,000 under $75,000",190
43944,"$75,000 under $100,000",140
43944,"$100,000 under $200,000",140
43944,"$200,000 or more",**
,,
43945,,"1,240"
43945,"$1 under $25,000",520
43945,"$25,000 under $50,000",350
43945,"$50,000 under $75,000",190
43945,"$75,000 under $100,000",100
43945,"$100,000 under $200,000",80
43945,"$200,000 or more",**
,,
43946,,820
43946,"$1 under $25,000",300
43946,"$25,000 under $50,000",210
43946,"$50,000 under $75,000",130
43946,"$75,000 under $100,000",80
43946,"$100,000 under $200,000",80
43946,"$200,000 or more",20
,,
43947,,"2,460"
43947,"$1 under $25,000",850
43947,"$25,000 under $50,000",740
43947,"$50,000 under $75,000",380
43947,"$75,000 under $100,000",240
43947,"$100,000 under $200,000",220
43947,"$200,000 or more",30
,,
43950,,"6,800"
43950,"$1 under $25,000",2220
43950,"$25,000 under $50,000",1610
43950,"$50,000 under $75,000",1010
43950,"$75,000 under $100,000",750
43950,"$100,000 under $200,000",950
43950,"$200,000 or more",260
,,
43952,,"7,100"
43952,"$1 under $25,000",3420
43952,"$25,000 under $50,000",1770
43952,"$50,000 under $75,000",900
43952,"$75,000 under $100,000",500
43952,"$100,000 under $200,000",440
43952,"$200,000 or more",70
,,
43953,,"5,480"
43953,"$1 under $25,000",2010
43953,"$25,000 under $50,000",1390
43953,"$50,000 under $75,000",870
43953,"$75,000 under $100,000",530
43953,"$100,000 under $200,000",550
43953,"$200,000 or more",130
,,
43963,,640
43963,"$1 under $25,000",280
43963,"$25,000 under $50,000",180
43963,"$50,000 under $75,000",90
43963,"$75,000 under $100,000",60
43963,"$100,000 under $200,000",30
43963,"$200,000 or more",**
,,
43964,,"4,350"
43964,"$1 under $25,000",1650
43964,"$25,000 under $50,000",1200
43964,"$50,000 under $75,000",680
43964,"$75,000 under $100,000",440
43964,"$100,000 under $200,000",350
43964,"$200,000 or more",30
,,
43968,,"2,960"
43968,"$1 under $25,000",1260
43968,"$25,000 under $50,000",840
43968,"$50,000 under $75,000",410
43968,"$75,000 under $100,000",270
43968,"$100,000 under $200,000",180
43968,"$200,000 or more",**
,,
43971,,530
43971,"$1 under $25,000",230
43971,"$25,000 under $50,000",150
43971,"$50,000 under $75,000",80
43971,"$75,000 under $100,000",40
43971,"$100,000 under $200,000",30
43971,"$200,000 or more",**
,,
43973,,760
43973,"$1 under $25,000",250
43973,"$25,000 under $50,000",230
43973,"$50,000 under $75,000",130
43973,"$75,000 under $100,000",70
43973,"$100,000 under $200,000",80
43973,"$200,000 or more",**
,,
43976,,670
43976,"$1 under $25,000",260
43976,"$25,000 under $50,000",160
43976,"$50,000 under $75,000",100
43976,"$75,000 under $100,000",80
43976,"$100,000 under $200,000",70
43976,"$200,000 or more",**
,,
43977,,960
43977,"$1 under $25,000",360
43977,"$25,000 under $50,000",290
43977,"$50,000 under $75,000",140
43977,"$75,000 under $100,000",80
43977,"$100,000 under $200,000",90
43977,"$200,000 or more",**
,,
43983,,220
43983,"$1 under $25,000",90
43983,"$25,000 under $50,000",50
43983,"$50,000 under $75,000",50
43983,"$75,000 under $100,000",**
43983,"$100,000 under $200,000",30
43983,"$200,000 or more",**
,,
43986,,810
43986,"$1 under $25,000",320
43986,"$25,000 under $50,000",240
43986,"$50,000 under $75,000",120
43986,"$75,000 under $100,000",60
43986,"$100,000 under $200,000",70
43986,"$200,000 or more",**
,,
43988,,"1,010"
43988,"$1 under $25,000",380
43988,"$25,000 under $50,000",260
43988,"$50,000 under $75,000",150
43988,"$75,000 under $100,000",100
43988,"$100,000 under $200,000",100
43988,"$200,000 or more",20
,,
44001,,"11,090"
44001,"$1 under $25,000",3530
44001,"$25,000 under $50,000",2560
44001,"$50,000 under $75,000",1920
44001,"$75,000 under $100,000",1270
44001,"$100,000 under $200,000",1530
44001,"$200,000 or more",280
,,
44003,,"1,840"
44003,"$1 under $25,000",780
44003,"$25,000 under $50,000",550
44003,"$50,000 under $75,000",270
44003,"$75,000 under $100,000",130
44003,"$100,000 under $200,000",110
44003,"$200,000 or more",**
,,
44004,,"13,860"
44004,"$1 under $25,000",6200
44004,"$25,000 under $50,000",3880
44004,"$50,000 under $75,000",1800
44004,"$75,000 under $100,000",990
44004,"$100,000 under $200,000",860
44004,"$200,000 or more",130
,,
44010,,820
44010,"$1 under $25,000",230
44010,"$25,000 under $50,000",210
44010,"$50,000 under $75,000",150
44010,"$75,000 under $100,000",110
44010,"$100,000 under $200,000",120
44010,"$200,000 or more",**
,,
44011,,"11,180"
44011,"$1 under $25,000",2850
44011,"$25,000 under $50,000",1580
44011,"$50,000 under $75,000",1560
44011,"$75,000 under $100,000",1230
44011,"$100,000 under $200,000",2750
44011,"$200,000 or more",1210
,,
44012,,"12,500"
44012,"$1 under $25,000",3300
44012,"$25,000 under $50,000",2050
44012,"$50,000 under $75,000",1870
44012,"$75,000 under $100,000",1460
44012,"$100,000 under $200,000",2560
44012,"$200,000 or more",1260
,,
44017,,"8,960"
44017,"$1 under $25,000",2820
44017,"$25,000 under $50,000",2420
44017,"$50,000 under $75,000",1630
44017,"$75,000 under $100,000",970
44017,"$100,000 under $200,000",1010
44017,"$200,000 or more",110
,,
44021,,"2,860"
44021,"$1 under $25,000",920
44021,"$25,000 under $50,000",800
44021,"$50,000 under $75,000",490
44021,"$75,000 under $100,000",290
44021,"$100,000 under $200,000",310
44021,"$200,000 or more",50
,,
44022,,"8,810"
44022,"$1 under $25,000",2220
44022,"$25,000 under $50,000",1060
44022,"$50,000 under $75,000",900
44022,"$75,000 under $100,000",730
44022,"$100,000 under $200,000",1810
44022,"$200,000 or more",2090
,,
44023,,"9,540"
44023,"$1 under $25,000",2590
44023,"$25,000 under $50,000",1420
44023,"$50,000 under $75,000",1080
44023,"$75,000 under $100,000",970
44023,"$100,000 under $200,000",2020
44023,"$200,000 or more",1460
,,
44024,,"12,060"
44024,"$1 under $25,000",3780
44024,"$25,000 under $50,000",2400
44024,"$50,000 under $75,000",1810
44024,"$75,000 under $100,000",1330
44024,"$100,000 under $200,000",2140
44024,"$200,000 or more",600
,,
44026,,"6,040"
44026,"$1 under $25,000",1770
44026,"$25,000 under $50,000",1120
44026,"$50,000 under $75,000",990
44026,"$75,000 under $100,000",750
44026,"$100,000 under $200,000",1060
44026,"$200,000 or more",350
,,
44028,,"4,810"
44028,"$1 under $25,000",1490
44028,"$25,000 under $50,000",1100
44028,"$50,000 under $75,000",790
44028,"$75,000 under $100,000",530
44028,"$100,000 under $200,000",720
44028,"$200,000 or more",180
,,
44030,,"6,410"
44030,"$1 under $25,000",2690
44030,"$25,000 under $50,000",1840
44030,"$50,000 under $75,000",940
44030,"$75,000 under $100,000",500
44030,"$100,000 under $200,000",400
44030,"$200,000 or more",40
,,
44032,,700
44032,"$1 under $25,000",300
44032,"$25,000 under $50,000",200
44032,"$50,000 under $75,000",110
44032,"$75,000 under $100,000",50
44032,"$100,000 under $200,000",40
44032,"$200,000 or more",**
,,
44035,,"30,250"
44035,"$1 under $25,000",12580
44035,"$25,000 under $50,000",8920
44035,"$50,000 under $75,000",4390
44035,"$75,000 under $100,000",2330
44035,"$100,000 under $200,000",1820
44035,"$200,000 or more",210
,,
44039,,"17,470"
44039,"$1 under $25,000",4670
44039,"$25,000 under $50,000",4090
44039,"$50,000 under $75,000",3150
44039,"$75,000 under $100,000",2380
44039,"$100,000 under $200,000",2850
44039,"$200,000 or more",330
,,
44040,,"1,680"
44040,"$1 under $25,000",360
44040,"$25,000 under $50,000",180
44040,"$50,000 under $75,000",150
44040,"$75,000 under $100,000",170
44040,"$100,000 under $200,000",330
44040,"$200,000 or more",490
,,
44041,,"6,780"
44041,"$1 under $25,000",2790
44041,"$25,000 under $50,000",1850
44041,"$50,000 under $75,000",1010
44041,"$75,000 under $100,000",590
44041,"$100,000 under $200,000",480
44041,"$200,000 or more",60
,,
44044,,"6,160"
44044,"$1 under $25,000",1970
44044,"$25,000 under $50,000",1480
44044,"$50,000 under $75,000",1100
44044,"$75,000 under $100,000",650
44044,"$100,000 under $200,000",810
44044,"$200,000 or more",150
,,
44046,,980
44046,"$1 under $25,000",280
44046,"$25,000 under $50,000",270
44046,"$50,000 under $75,000",190
44046,"$75,000 under $100,000",120
44046,"$100,000 under $200,000",120
44046,"$200,000 or more",**
,,
44047,,"4,280"
44047,"$1 under $25,000",1610
44047,"$25,000 under $50,000",1160
44047,"$50,000 under $75,000",740
44047,"$75,000 under $100,000",360
44047,"$100,000 under $200,000",370
44047,"$200,000 or more",40
,,
44048,,"1,120"
44048,"$1 under $25,000",410
44048,"$25,000 under $50,000",320
44048,"$50,000 under $75,000",190
44048,"$75,000 under $100,000",100
44048,"$100,000 under $200,000",100
44048,"$200,000 or more",**
,,
44050,,"3,210"
44050,"$1 under $25,000",940
44050,"$25,000 under $50,000",800
44050,"$50,000 under $75,000",560
44050,"$75,000 under $100,000",390
44050,"$100,000 under $200,000",460
44050,"$200,000 or more",60
,,
44052,,"12,700"
44052,"$1 under $25,000",6640
44052,"$25,000 under $50,000",3580
44052,"$50,000 under $75,000",1390
44052,"$75,000 under $100,000",640
44052,"$100,000 under $200,000",410
44052,"$200,000 or more",40
,,
44053,,"9,480"
44053,"$1 under $25,000",3680
44053,"$25,000 under $50,000",2410
44053,"$50,000 under $75,000",1450
44053,"$75,000 under $100,000",920
44053,"$100,000 under $200,000",920
44053,"$200,000 or more",100
,,
44054,,"6,350"
44054,"$1 under $25,000",2120
44054,"$25,000 under $50,000",1700
44054,"$50,000 under $75,000",1120
44054,"$75,000 under $100,000",670
44054,"$100,000 under $200,000",640
44054,"$200,000 or more",100
,,
44055,,"8,240"
44055,"$1 under $25,000",4590
44055,"$25,000 under $50,000",2360
44055,"$50,000 under $75,000",810
44055,"$75,000 under $100,000",290
44055,"$100,000 under $200,000",190
44055,"$200,000 or more",**
,,
44056,,"6,510"
44056,"$1 under $25,000",1770
44056,"$25,000 under $50,000",1270
44056,"$50,000 under $75,000",1120
44056,"$75,000 under $100,000",860
44056,"$100,000 under $200,000",1200
44056,"$200,000 or more",290
,,
44057,,"9,380"
44057,"$1 under $25,000",3360
44057,"$25,000 under $50,000",2550
44057,"$50,000 under $75,000",1480
44057,"$75,000 under $100,000",940
44057,"$100,000 under $200,000",920
44057,"$200,000 or more",130
,,
44060,,"33,000"
44060,"$1 under $25,000",9940
44060,"$25,000 under $50,000",7680
44060,"$50,000 under $75,000",5680
44060,"$75,000 under $100,000",3910
44060,"$100,000 under $200,000",4810
44060,"$200,000 or more",980
,,
44062,,"5,640"
44062,"$1 under $25,000",2040
44062,"$25,000 under $50,000",1900
44062,"$50,000 under $75,000",850
44062,"$75,000 under $100,000",470
44062,"$100,000 under $200,000",320
44062,"$200,000 or more",60
,,
44064,,860
44064,"$1 under $25,000",260
44064,"$25,000 under $50,000",230
44064,"$50,000 under $75,000",160
44064,"$75,000 under $100,000",90
44064,"$100,000 under $200,000",120
44064,"$200,000 or more",**
,,
44065,,"2,160"
44065,"$1 under $25,000",670
44065,"$25,000 under $50,000",520
44065,"$50,000 under $75,000",360
44065,"$75,000 under $100,000",230
44065,"$100,000 under $200,000",290
44065,"$200,000 or more",90
,,
44067,,"11,240"
44067,"$1 under $25,000",3210
44067,"$25,000 under $50,000",2570
44067,"$50,000 under $75,000",1960
44067,"$75,000 under $100,000",1380
44067,"$100,000 under $200,000",1720
44067,"$200,000 or more",400
,,
44070,,"17,360"
44070,"$1 under $25,000",5750
44070,"$25,000 under $50,000",4280
44070,"$50,000 under $75,000",3000
44070,"$75,000 under $100,000",2000
44070,"$100,000 under $200,000",2080
44070,"$200,000 or more",250
,,
44072,,"2,440"
44072,"$1 under $25,000",650
44072,"$25,000 under $50,000",420
44072,"$50,000 under $75,000",320
44072,"$75,000 under $100,000",260
44072,"$100,000 under $200,000",460
44072,"$200,000 or more",330
,,
44074,,"4,500"
44074,"$1 under $25,000",1540
44074,"$25,000 under $50,000",960
44074,"$50,000 under $75,000",730
44074,"$75,000 under $100,000",490
44074,"$100,000 under $200,000",630
44074,"$200,000 or more",150
,,
44076,,"2,160"
44076,"$1 under $25,000",810
44076,"$25,000 under $50,000",690
44076,"$50,000 under $75,000",380
44076,"$75,000 under $100,000",150
44076,"$100,000 under $200,000",130
44076,"$200,000 or more",**
,,
44077,,"28,750"
44077,"$1 under $25,000",9890
44077,"$25,000 under $50,000",7200
44077,"$50,000 under $75,000",4440
44077,"$75,000 under $100,000",2780
44077,"$100,000 under $200,000",3500
44077,"$200,000 or more",940
,,
44081,,"3,530"
44081,"$1 under $25,000",1150
44081,"$25,000 under $50,000",800
44081,"$50,000 under $75,000",570
44081,"$75,000 under $100,000",390
44081,"$100,000 under $200,000",540
44081,"$200,000 or more",80
,,
44082,,610
44082,"$1 under $25,000",240
44082,"$25,000 under $50,000",180
44082,"$50,000 under $75,000",110
44082,"$75,000 under $100,000",50
44082,"$100,000 under $200,000",30
44082,"$200,000 or more",**
,,
44084,,"1,750"
44084,"$1 under $25,000",550
44084,"$25,000 under $50,000",500
44084,"$50,000 under $75,000",320
44084,"$75,000 under $100,000",180
44084,"$100,000 under $200,000",170
44084,"$200,000 or more",30
,,
44085,,"1,410"
44085,"$1 under $25,000",470
44085,"$25,000 under $50,000",430
44085,"$50,000 under $75,000",240
44085,"$75,000 under $100,000",140
44085,"$100,000 under $200,000",130
44085,"$200,000 or more",**
,,
44086,,"1,140"
44086,"$1 under $25,000",320
44086,"$25,000 under $50,000",300
44086,"$50,000 under $75,000",220
44086,"$75,000 under $100,000",130
44086,"$100,000 under $200,000",170
44086,"$200,000 or more",**
,,
44087,,"11,300"
44087,"$1 under $25,000",3380
44087,"$25,000 under $50,000",2310
44087,"$50,000 under $75,000",1810
44087,"$75,000 under $100,000",1270
44087,"$100,000 under $200,000",2020
44087,"$200,000 or more",510
,,
44089,,"8,190"
44089,"$1 under $25,000",2840
44089,"$25,000 under $50,000",2000
44089,"$50,000 under $75,000",1360
44089,"$75,000 under $100,000",840
44089,"$100,000 under $200,000",960
44089,"$200,000 or more",190
,,
44090,,"5,480"
44090,"$1 under $25,000",1750
44090,"$25,000 under $50,000",1480
44090,"$50,000 under $75,000",990
44090,"$75,000 under $100,000",600
44090,"$100,000 under $200,000",590
44090,"$200,000 or more",70
,,
44092,,"8,990"
44092,"$1 under $25,000",3050
44092,"$25,000 under $50,000",2710
44092,"$50,000 under $75,000",1510
44092,"$75,000 under $100,000",790
44092,"$100,000 under $200,000",800
44092,"$200,000 or more",130
,,
44093,,610
44093,"$1 under $25,000",250
44093,"$25,000 under $50,000",200
44093,"$50,000 under $75,000",90
44093,"$75,000 under $100,000",40
44093,"$100,000 under $200,000",30
44093,"$200,000 or more",**
,,
44094,,"19,860"
44094,"$1 under $25,000",6130
44094,"$25,000 under $50,000",4800
44094,"$50,000 under $75,000",3270
44094,"$75,000 under $100,000",2130
44094,"$100,000 under $200,000",2650
44094,"$200,000 or more",880
,,
44095,,"17,710"
44095,"$1 under $25,000",6200
44095,"$25,000 under $50,000",5370
44095,"$50,000 under $75,000",3040
44095,"$75,000 under $100,000",1670
44095,"$100,000 under $200,000",1280
44095,"$200,000 or more",150
,,
44099,,870
44099,"$1 under $25,000",260
44099,"$25,000 under $50,000",280
44099,"$50,000 under $75,000",160
44099,"$75,000 under $100,000",90
44099,"$100,000 under $200,000",80
44099,"$200,000 or more",**
,,
44102,,"17,400"
44102,"$1 under $25,000",9390
44102,"$25,000 under $50,000",5000
44102,"$50,000 under $75,000",1630
44102,"$75,000 under $100,000",610
44102,"$100,000 under $200,000",600
44102,"$200,000 or more",170
,,
44103,,"5,640"
44103,"$1 under $25,000",3550
44103,"$25,000 under $50,000",1520
44103,"$50,000 under $75,000",340
44103,"$75,000 under $100,000",120
44103,"$100,000 under $200,000",90
44103,"$200,000 or more",20
,,
44104,,"7,010"
44104,"$1 under $25,000",5070
44104,"$25,000 under $50,000",1500
44104,"$50,000 under $75,000",320
44104,"$75,000 under $100,000",80
44104,"$100,000 under $200,000",40
44104,"$200,000 or more",**
,,
44105,,"14,460"
44105,"$1 under $25,000",8510
44105,"$25,000 under $50,000",4270
44105,"$50,000 under $75,000",1140
44105,"$75,000 under $100,000",340
44105,"$100,000 under $200,000",200
44105,"$200,000 or more",**
,,
44106,,"8,310"
44106,"$1 under $25,000",3890
44106,"$25,000 under $50,000",2010
44106,"$50,000 under $75,000",880
44106,"$75,000 under $100,000",400
44106,"$100,000 under $200,000",620
44106,"$200,000 or more",510
,,
44107,,"27,600"
44107,"$1 under $25,000",9020
44107,"$25,000 under $50,000",8350
44107,"$50,000 under $75,000",4540
44107,"$75,000 under $100,000",2300
44107,"$100,000 under $200,000",2640
44107,"$200,000 or more",750
,,
44108,,"9,110"
44108,"$1 under $25,000",5310
44108,"$25,000 under $50,000",2530
44108,"$50,000 under $75,000",630
44108,"$75,000 under $100,000",230
44108,"$100,000 under $200,000",250
44108,"$200,000 or more",160
,,
44109,,"17,510"
44109,"$1 under $25,000",9030
44109,"$25,000 under $50,000",5230
44109,"$50,000 under $75,000",1930
44109,"$75,000 under $100,000",760
44109,"$100,000 under $200,000",530
44109,"$200,000 or more",30
,,
44110,,"7,230"
44110,"$1 under $25,000",4330
44110,"$25,000 under $50,000",2070
44110,"$50,000 under $75,000",540
44110,"$75,000 under $100,000",170
44110,"$100,000 under $200,000",120
44110,"$200,000 or more",**
,,
44111,,"19,560"
44111,"$1 under $25,000",8640
44111,"$25,000 under $50,000",6000
44111,"$50,000 under $75,000",2610
44111,"$75,000 under $100,000",1240
44111,"$100,000 under $200,000",960
44111,"$200,000 or more",110
,,
44112,,"7,850"
44112,"$1 under $25,000",4760
