"ZIP
code [1]",Size of adjusted gross income,Number of returns
43054,"$50,000 under $75,000",1730
43054,"$75,000 under $100,000",1230
43054,"$100,000 under $200,000",2560
43054,"$200,000 or more",2260
,,
43055,,"28,060"
43055,"$1 under $25,000",11400
43055,"$25,000 under $50,000",7700
43055,"$50,000 under $75,000",4120
43055,"$75,000 under $100,000",2350
43055,"$100,000 under $200,000",2180
43055,"$200,000 or more",310
,,
43056,,"8,650"
43056,"$1 under $25,000",3030
43056,"$25,000 under $50,000",2270
43056,"$50,000 under $75,000",1420
43056,"$75,000 under $100,000",910
43056,"$100,000 under $200,000",910
43056,"$200,000 or more",110
,,
43060,,"1,240"
43060,"$1 under $25,000",410
43060,"$25,000 under $50,000",370
43060,"$50,000 under $75,000",220
43060,"$75,000 under $100,000",120
43060,"$100,000 under $200,000",120
43060,"$200,000 or more",**
,,
43061,,"2,130"
43061,"$1 under $25,000",540
43061,"$25,000 under $50,000",380
43061,"$50,000 under $75,000",330
43061,"$75,000 under $100,000",300
43061,"$100,000 under $200,000",470
43061,"$200,000 or more",110
,,
43062,,"14,470"
43062,"$1 under $25,000",4050
43062,"$25,000 under $50,000",3270
43062,"$50,000 under $75,000",2510
43062,"$75,000 under $100,000",1910
43062,"$100,000 under $200,000",2390
43062,"$200,000 or more",340
,,
43064,,"6,780"
43064,"$1 under $25,000",1840
43064,"$25,000 under $50,000",1190
43064,"$50,000 under $75,000",970
43064,"$75,000 under $100,000",780
43064,"$100,000 under $200,000",1490
43064,"$200,000 or more",510
,,
43065,,"20,350"
43065,"$1 under $25,000",4810
43065,"$25,000 under $50,000",2470
43065,"$50,000 under $75,000",2390
43065,"$75,000 under $100,000",2260
43065,"$100,000 under $200,000",5160
43065,"$200,000 or more",3260
,,
43066,,620
43066,"$1 under $25,000",160
43066,"$25,000 under $50,000",140
43066,"$50,000 under $75,000",110
43066,"$75,000 under $100,000",80
43066,"$100,000 under $200,000",130
43066,"$200,000 or more",**
,,
43067,,780
43067,"$1 under $25,000",270
43067,"$25,000 under $50,000",160
43067,"$50,000 under $75,000",130
43067,"$75,000 under $100,000",90
43067,"$100,000 under $200,000",130
43067,"$200,000 or more",**
,,
43068,,"28,250"
43068,"$1 under $25,000",9900
43068,"$25,000 under $50,000",8750
43068,"$50,000 under $75,000",4350
43068,"$75,000 under $100,000",2470
43068,"$100,000 under $200,000",2530
43068,"$200,000 or more",250
,,
43071,,"1,100"
43071,"$1 under $25,000",380
43071,"$25,000 under $50,000",270
43071,"$50,000 under $75,000",190
43071,"$75,000 under $100,000",130
43071,"$100,000 under $200,000",130
43071,"$200,000 or more",**
,,
43072,,"2,620"
43072,"$1 under $25,000",830
43072,"$25,000 under $50,000",710
43072,"$50,000 under $75,000",460
43072,"$75,000 under $100,000",290
43072,"$100,000 under $200,000",300
43072,"$200,000 or more",30
,,
43074,,"6,350"
43074,"$1 under $25,000",1680
43074,"$25,000 under $50,000",1250
43074,"$50,000 under $75,000",1000
43074,"$75,000 under $100,000",860
43074,"$100,000 under $200,000",1230
43074,"$200,000 or more",330
,,
43076,,"4,360"
43076,"$1 under $25,000",1330
43076,"$25,000 under $50,000",1090
43076,"$50,000 under $75,000",800
43076,"$75,000 under $100,000",510
43076,"$100,000 under $200,000",520
43076,"$200,000 or more",110
,,
43078,,"9,640"
43078,"$1 under $25,000",3560
43078,"$25,000 under $50,000",2770
43078,"$50,000 under $75,000",1530
43078,"$75,000 under $100,000",880
43078,"$100,000 under $200,000",790
43078,"$200,000 or more",110
,,
43080,,"2,440"
43080,"$1 under $25,000",840
43080,"$25,000 under $50,000",680
43080,"$50,000 under $75,000",410
43080,"$75,000 under $100,000",260
43080,"$100,000 under $200,000",220
43080,"$200,000 or more",30
,,
43081,,"31,500"
43081,"$1 under $25,000",8630
43081,"$25,000 under $50,000",7450
43081,"$50,000 under $75,000",5470
43081,"$75,000 under $100,000",3840
43081,"$100,000 under $200,000",5160
43081,"$200,000 or more",950
,,
43082,,"15,690"
43082,"$1 under $25,000",3660
43082,"$25,000 under $50,000",1890
43082,"$50,000 under $75,000",1800
43082,"$75,000 under $100,000",1790
43082,"$100,000 under $200,000",4320
43082,"$200,000 or more",2230
,,
43084,,410
43084,"$1 under $25,000",130
43084,"$25,000 under $50,000",120
43084,"$50,000 under $75,000",70
43084,"$75,000 under $100,000",50
43084,"$100,000 under $200,000",40
43084,"$200,000 or more",**
,,
43085,,"13,030"
43085,"$1 under $25,000",3210
43085,"$25,000 under $50,000",2670
43085,"$50,000 under $75,000",2040
43085,"$75,000 under $100,000",1490
43085,"$100,000 under $200,000",2680
43085,"$200,000 or more",940
,,
43102,,"2,140"
43102,"$1 under $25,000",700
43102,"$25,000 under $50,000",540
43102,"$50,000 under $75,000",370
43102,"$75,000 under $100,000",250
43102,"$100,000 under $200,000",250
43102,"$200,000 or more",30
,,
43103,,"5,460"
43103,"$1 under $25,000",1720
43103,"$25,000 under $50,000",1400
43103,"$50,000 under $75,000",910
43103,"$75,000 under $100,000",650
43103,"$100,000 under $200,000",700
43103,"$200,000 or more",80
,,
43105,,"4,130"
43105,"$1 under $25,000",1240
43105,"$25,000 under $50,000",900
43105,"$50,000 under $75,000",740
43105,"$75,000 under $100,000",490
43105,"$100,000 under $200,000",650
43105,"$200,000 or more",110
,,
43106,,730
43106,"$1 under $25,000",270
43106,"$25,000 under $50,000",260
43106,"$50,000 under $75,000",100
43106,"$75,000 under $100,000",50
43106,"$100,000 under $200,000",50
43106,"$200,000 or more",**
,,
43107,,"1,480"
43107,"$1 under $25,000",520
43107,"$25,000 under $50,000",410
43107,"$50,000 under $75,000",260
43107,"$75,000 under $100,000",140
43107,"$100,000 under $200,000",130
43107,"$200,000 or more",20
,,
43110,,"18,690"
43110,"$1 under $25,000",5990
43110,"$25,000 under $50,000",5190
43110,"$50,000 under $75,000",3040
43110,"$75,000 under $100,000",1850
43110,"$100,000 under $200,000",2230
43110,"$200,000 or more",390
,,
43112,,"2,390"
43112,"$1 under $25,000",640
43112,"$25,000 under $50,000",520
43112,"$50,000 under $75,000",400
43112,"$75,000 under $100,000",290
43112,"$100,000 under $200,000",440
43112,"$200,000 or more",100
,,
43113,,"10,800"
43113,"$1 under $25,000",3920
43113,"$25,000 under $50,000",2780
43113,"$50,000 under $75,000",1730
43113,"$75,000 under $100,000",1090
43113,"$100,000 under $200,000",1090
43113,"$200,000 or more",190
,,
43115,,560
43115,"$1 under $25,000",200
43115,"$25,000 under $50,000",170
43115,"$50,000 under $75,000",80
43115,"$75,000 under $100,000",60
43115,"$100,000 under $200,000",50
43115,"$200,000 or more",**
,,
43116,,960
43116,"$1 under $25,000",210
43116,"$25,000 under $50,000",230
43116,"$50,000 under $75,000",170
43116,"$75,000 under $100,000",160
43116,"$100,000 under $200,000",170
43116,"$200,000 or more",20
,,
43119,,"14,520"
43119,"$1 under $25,000",4570
43119,"$25,000 under $50,000",4220
43119,"$50,000 under $75,000",2460
43119,"$75,000 under $100,000",1530
43119,"$100,000 under $200,000",1560
43119,"$200,000 or more",180
,,
43123,,"32,560"
43123,"$1 under $25,000",9610
43123,"$25,000 under $50,000",8370
43123,"$50,000 under $75,000",5570
43123,"$75,000 under $100,000",3790
43123,"$100,000 under $200,000",4520
43123,"$200,000 or more",700
,,
43125,,"7,030"
43125,"$1 under $25,000",2220
43125,"$25,000 under $50,000",2160
43125,"$50,000 under $75,000",1260
43125,"$75,000 under $100,000",710
43125,"$100,000 under $200,000",620
43125,"$200,000 or more",60
,,
43128,,"1,080"
43128,"$1 under $25,000",470
43128,"$25,000 under $50,000",320
43128,"$50,000 under $75,000",130
43128,"$75,000 under $100,000",80
43128,"$100,000 under $200,000",80
43128,"$200,000 or more",**
,,
43130,,"26,940"
43130,"$1 under $25,000",10280
43130,"$25,000 under $50,000",7100
43130,"$50,000 under $75,000",4080
43130,"$75,000 under $100,000",2510
43130,"$100,000 under $200,000",2500
43130,"$200,000 or more",470
,,
43135,,"1,860"
43135,"$1 under $25,000",710
43135,"$25,000 under $50,000",500
43135,"$50,000 under $75,000",310
43135,"$75,000 under $100,000",180
43135,"$100,000 under $200,000",160
43135,"$200,000 or more",**
,,
43136,,830
43136,"$1 under $25,000",200
43136,"$25,000 under $50,000",180
43136,"$50,000 under $75,000",180
43136,"$75,000 under $100,000",130
43136,"$100,000 under $200,000",140
43136,"$200,000 or more",**
,,
43137,,"1,180"
43137,"$1 under $25,000",430
43137,"$25,000 under $50,000",320
43137,"$50,000 under $75,000",170
43137,"$75,000 under $100,000",110
43137,"$100,000 under $200,000",150
43137,"$200,000 or more",**
,,
43138,,"7,940"
43138,"$1 under $25,000",3240
43138,"$25,000 under $50,000",2260
43138,"$50,000 under $75,000",1180
43138,"$75,000 under $100,000",650
43138,"$100,000 under $200,000",530
43138,"$200,000 or more",80
,,
43140,,"9,490"
43140,"$1 under $25,000",3190
43140,"$25,000 under $50,000",2520
43140,"$50,000 under $75,000",1500
43140,"$75,000 under $100,000",950
43140,"$100,000 under $200,000",1130
43140,"$200,000 or more",200
,,
43143,,"2,730"
43143,"$1 under $25,000",860
43143,"$25,000 under $50,000",790
43143,"$50,000 under $75,000",500
43143,"$75,000 under $100,000",280
43143,"$100,000 under $200,000",250
43143,"$200,000 or more",50
,,
43145,,860
43145,"$1 under $25,000",290
43145,"$25,000 under $50,000",270
43145,"$50,000 under $75,000",130
43145,"$75,000 under $100,000",80
43145,"$100,000 under $200,000",90
43145,"$200,000 or more",**
,,
43146,,"4,390"
43146,"$1 under $25,000",1180
43146,"$25,000 under $50,000",1080
43146,"$50,000 under $75,000",810
43146,"$75,000 under $100,000",570
43146,"$100,000 under $200,000",650
43146,"$200,000 or more",100
,,
43147,,"20,350"
43147,"$1 under $25,000",5580
43147,"$25,000 under $50,000",3720
43147,"$50,000 under $75,000",3110
43147,"$75,000 under $100,000",2690
43147,"$100,000 under $200,000",4340
43147,"$200,000 or more",910
,,
43148,,980
43148,"$1 under $25,000",330
43148,"$25,000 under $50,000",250
43148,"$50,000 under $75,000",170
43148,"$75,000 under $100,000",110
43148,"$100,000 under $200,000",120
43148,"$200,000 or more",**
,,
43149,,"1,160"
43149,"$1 under $25,000",390
43149,"$25,000 under $50,000",310
43149,"$50,000 under $75,000",210
43149,"$75,000 under $100,000",120
43149,"$100,000 under $200,000",130
43149,"$200,000 or more",**
,,
43150,,"1,060"
43150,"$1 under $25,000",360
43150,"$25,000 under $50,000",270
43150,"$50,000 under $75,000",170
43150,"$75,000 under $100,000",110
43150,"$100,000 under $200,000",150
43150,"$200,000 or more",**
,,
43152,,390
43152,"$1 under $25,000",170
43152,"$25,000 under $50,000",110
43152,"$50,000 under $75,000",50
43152,"$75,000 under $100,000",60
43152,"$100,000 under $200,000",**
43152,"$200,000 or more",**
,,
43153,,420
43153,"$1 under $25,000",160
43153,"$25,000 under $50,000",130
43153,"$50,000 under $75,000",50
43153,"$75,000 under $100,000",40
43153,"$100,000 under $200,000",40
43153,"$200,000 or more",**
,,
43154,,"1,450"
43154,"$1 under $25,000",440
43154,"$25,000 under $50,000",390
43154,"$50,000 under $75,000",260
43154,"$75,000 under $100,000",190
43154,"$100,000 under $200,000",150
43154,"$200,000 or more",20
,,
43155,,"1,190"
43155,"$1 under $25,000",370
43155,"$25,000 under $50,000",290
43155,"$50,000 under $75,000",210
43155,"$75,000 under $100,000",140
43155,"$100,000 under $200,000",160
43155,"$200,000 or more",20
,,
43160,,"10,240"
43160,"$1 under $25,000",4240
43160,"$25,000 under $50,000",3130
43160,"$50,000 under $75,000",1420
43160,"$75,000 under $100,000",730
43160,"$100,000 under $200,000",600
43160,"$200,000 or more",120
,,
43162,,"3,490"
43162,"$1 under $25,000",1140
43162,"$25,000 under $50,000",980
43162,"$50,000 under $75,000",600
43162,"$75,000 under $100,000",360
43162,"$100,000 under $200,000",340
43162,"$200,000 or more",70
,,
43164,,"1,070"
43164,"$1 under $25,000",370
43164,"$25,000 under $50,000",300
43164,"$50,000 under $75,000",180
43164,"$75,000 under $100,000",120
43164,"$100,000 under $200,000",100
43164,"$200,000 or more",**
,,
43201,,"12,260"
43201,"$1 under $25,000",6140
43201,"$25,000 under $50,000",3010
43201,"$50,000 under $75,000",1350
43201,"$75,000 under $100,000",620
43201,"$100,000 under $200,000",820
43201,"$200,000 or more",320
,,
43202,,"10,210"
43202,"$1 under $25,000",4030
43202,"$25,000 under $50,000",3080
43202,"$50,000 under $75,000",1370
43202,"$75,000 under $100,000",810
43202,"$100,000 under $200,000",800
43202,"$200,000 or more",120
,,
43203,,"3,450"
43203,"$1 under $25,000",1910
43203,"$25,000 under $50,000",1000
43203,"$50,000 under $75,000",270
43203,"$75,000 under $100,000",130
43203,"$100,000 under $200,000",110
43203,"$200,000 or more",30
,,
43204,,"19,260"
43204,"$1 under $25,000",8620
43204,"$25,000 under $50,000",5990
43204,"$50,000 under $75,000",2580
43204,"$75,000 under $100,000",1120
43204,"$100,000 under $200,000",820
43204,"$200,000 or more",130
,,
43205,,"5,640"
43205,"$1 under $25,000",2880
43205,"$25,000 under $50,000",1680
43205,"$50,000 under $75,000",540
43205,"$75,000 under $100,000",260
43205,"$100,000 under $200,000",230
43205,"$200,000 or more",50
,,
43206,,"11,620"
43206,"$1 under $25,000",4450
43206,"$25,000 under $50,000",3380
43206,"$50,000 under $75,000",1570
43206,"$75,000 under $100,000",770
43206,"$100,000 under $200,000",1030
43206,"$200,000 or more",420
,,
43207,,"21,320"
43207,"$1 under $25,000",9520
43207,"$25,000 under $50,000",7130
43207,"$50,000 under $75,000",2750
43207,"$75,000 under $100,000",1170
43207,"$100,000 under $200,000",710
43207,"$200,000 or more",40
,,
43209,,"13,160"
43209,"$1 under $25,000",4110
43209,"$25,000 under $50,000",2960
43209,"$50,000 under $75,000",1800
43209,"$75,000 under $100,000",1150
43209,"$100,000 under $200,000",1900
43209,"$200,000 or more",1240
,,
43210,,510
43210,"$1 under $25,000",390
43210,"$25,000 under $50,000",80
43210,"$50,000 under $75,000",20
43210,"$75,000 under $100,000",20
43210,"$100,000 under $200,000",**
43210,"$200,000 or more",**
,,
43211,,"8,970"
43211,"$1 under $25,000",5810
43211,"$25,000 under $50,000",2440
43211,"$50,000 under $75,000",550
43211,"$75,000 under $100,000",120
43211,"$100,000 under $200,000",50
43211,"$200,000 or more",**
,,
43212,,"12,340"
43212,"$1 under $25,000",2820
43212,"$25,000 under $50,000",3660
43212,"$50,000 under $75,000",2370
43212,"$75,000 under $100,000",1070
43212,"$100,000 under $200,000",1560
43212,"$200,000 or more",860
,,
43213,,"16,840"
43213,"$1 under $25,000",7590
43213,"$25,000 under $50,000",5430
43213,"$50,000 under $75,000",1900
43213,"$75,000 under $100,000",960
43213,"$100,000 under $200,000",810
43213,"$200,000 or more",150
,,
43214,,"14,800"
43214,"$1 under $25,000",3720
43214,"$25,000 under $50,000",3470
43214,"$50,000 under $75,000",2520
43214,"$75,000 under $100,000",1830
43214,"$100,000 under $200,000",2580
43214,"$200,000 or more",680
,,
43215,,"9,310"
