,zip,gross_income_level,number_of_returns
804,43221.0,75000~100000,1970
805,43221.0,100000~200000,3630
806,43221.0,200000 or more,2130
808,43222.0,,1600
809,43222.0,1~25000,1070
810,43222.0,25000~50000,410
811,43222.0,50000~75000,80
812,43222.0,75000~100000,40
813,43222.0,100000~200000,0
814,43222.0,200000 or more,0
816,43223.0,,10540
817,43223.0,1~25000,5690
818,43223.0,25000~50000,3220
819,43223.0,50000~75000,1050
820,43223.0,75000~100000,380
821,43223.0,100000~200000,200
822,43223.0,200000 or more,0
824,43224.0,,20480
825,43224.0,1~25000,10470
826,43224.0,25000~50000,6720
827,43224.0,50000~75000,2060
828,43224.0,75000~100000,750
829,43224.0,100000~200000,450
830,43224.0,200000 or more,30
832,43227.0,,11670
833,43227.0,1~25000,5940
834,43227.0,25000~50000,3930
835,43227.0,50000~75000,1170
836,43227.0,75000~100000,390
837,43227.0,100000~200000,240
838,43227.0,200000 or more,0
840,43228.0,,26160
841,43228.0,1~25000,11200
842,43228.0,25000~50000,8200
843,43228.0,50000~75000,3410
844,43228.0,75000~100000,1750
845,43228.0,100000~200000,1490
846,43228.0,200000 or more,110
848,43229.0,,25660
849,43229.0,1~25000,11610
850,43229.0,25000~50000,8700
851,43229.0,50000~75000,3020
852,43229.0,75000~100000,1280
853,43229.0,100000~200000,970
854,43229.0,200000 or more,80
856,43230.0,,29690
857,43230.0,1~25000,8000
858,43230.0,25000~50000,7540
859,43230.0,50000~75000,5140
860,43230.0,75000~100000,3530
861,43230.0,100000~200000,4580
862,43230.0,200000 or more,900
864,43231.0,,10550
865,43231.0,1~25000,4430
866,43231.0,25000~50000,3330
867,43231.0,50000~75000,1390
868,43231.0,75000~100000,770
869,43231.0,100000~200000,590
870,43231.0,200000 or more,40
872,43232.0,,21480
873,43232.0,1~25000,10180
874,43232.0,25000~50000,7410
875,43232.0,50000~75000,2380
876,43232.0,75000~100000,950
877,43232.0,100000~200000,520
878,43232.0,200000 or more,40
880,43235.0,,22600
881,43235.0,1~25000,6100
882,43235.0,25000~50000,5500
883,43235.0,50000~75000,3550
884,43235.0,75000~100000,2440
885,43235.0,100000~200000,3620
886,43235.0,200000 or more,1390
